song title,artist/band name,year,lyrics url,lyrics
You Brought A New Kind Of Love To Me,Ella Fitzgerald,1958,https://www.azlyrics.com/lyrics/ellafitzgerald/youbroughtanewkindoflovetome.html,"If the nightingales could sing like you
They'd sing much sweeter than they do
For you brought a new kind of love to me
If the sandman brought me dreams of you
I'd want to sleep my whole life through
For you brought a new kind of love to me
I know that I'm the slave you're the king
But still you can understand that underneath it all
You're a man and I am only a maid
I would work and slave the whole day through
If I could hurry home to you
For you brought a new kind of love to me
I know that I'm the slave you're the king
But still you can understand that underneath it all
You're a man and I am only a maid
I would work and slave the whole day through
If I could hurry home to you
For you brought a new kind of love
Yes you came from heaven above
For you brought a new kind of love to me"
It's Easy To Remember,"Holiday, Billie",1958,https://www.azlyrics.com/lyrics/billieholiday/itseasytoremember.html,"Your sweet expression
The smile you gave me,
The way you looked when we meet
It's easy to remember 
But so hard to forget. 
I hear you whisper,
I'll always lave you
I know it's over and yet
It's easy to remember 
But so hard to forget.
So I must dream
To have your hand caress me,
Fingers press me tight.
I'd rather dream
Than have the lonely feeling
Stealing through the nigh.
Each little moment
Is clear before me,
And though it brings me regret
It's easy to remember 
But so hard to forget."
A Cottage For Sale,"Bennett, Tony",1958,https://www.azlyrics.com/lyrics/tonybennett/acottageforsale.html,"A little dream castle
With every dream gone
Is lonely and silent
The shades are all drawn
And my heart is heavy
As I gaze upon
A cottage for sale
The lawn we were proud of
Is waving in hay
Our beautiful garden
Has withered away
Where you planted roses
The weeds seem to say
A cottage for sale
From every single window
I see your face
But when I reach a window
There's empty space
The key's in the mailbox
The same as before
But no one is waiting
For me anymore
The end of our story
Is told on the door
A cottage for sale"
Fascinatin' Rhythm,Tony Bennett,1959,https://www.azlyrics.com/lyrics/tonybennett/fascinatinrhythm.html,"Fascinating rhythm, you've got me on the go
Fascinating rhythm, I'm all a-quiver
What a mess you're making, the neighbors want to know
Why I'm always shaking, just like a flivver.
Oh, every morn I'm up with the sun
To find at night no work has been done
I know that once it didn't matter, but now you're doing wrong
When you start to patter, I'm so unhappy
Won't you take the day off, decide to run along
Somewhere far away off, and make it snappy
Oh, how I long to be the man I used to be
Fascinating rhythm, stop picking on me
Oh, how I long to be the man I used to be
Fascinating rhythm, won't you ever stop picking on me?
That's it!"
Wear My Ring Around Your Neck,"Presley, Elvis",1959,https://www.azlyrics.com/lyrics/elvispresley/wearmyringaroundyourneck.html,"(Moody and Carroll)
Won't you wear my ring around your neck
To tell the world I'm yours, by heck
Let them see your love for me
And let them see by the ring around your neck
Won't you wear my ring around your neck
To tell the world I'm yours, by heck
Let them know I love you so
And let them no by the ring around your neck
They say that goin' steady is not the proper thing
They say that we're too young to know the meaning of a ring
I only know that I love you and that you love me too
So, darling, please do what I ask of you
Won't you wear my ring around your neck
To
ffb
tell the world I'm yours, by heck
Let them see your love for me
And let them see by the ring around your neck
Let them know I love you so
And let them know by the ring around your neck"
Did You Miss Me,"Jackson, Wanda",1960,https://www.azlyrics.com/lyrics/wandajackson/didyoumissme.html,"Tell me, did you miss me while I was gone
Did you wanna kiss me when you were alone
Did you sit and stare at the telephone
Did you miss me while I was gone
Our love is so suddenly and stir is so new
I just want to know if you feel like I do
Did you think about me while I was away
And did every hour seem like a day
Was it something inside that you just couldn't say
Did you miss me while I was away
Our love is so suddenly and stir is so new
I just want to know if you feel like I do
Tell me, did you miss me while I was gone
Did you wanna kiss me when you were alone
Did you sit and stare at the telephone
Did you miss me while I was gone"
Laisse Les Filles,"Hallyday, Johnny",1960,https://www.azlyrics.com/lyrics/johnnyhallyday/laisselesfilles.html,"Ma mère me dit régulièrement
Tu ne fais rien tu perds ton temps
Tu ferais mieux de travailler
Au lieu de t'en aller traîner
Han han han, laisse les filles
Han han han, oui, laisse les filles
Tu as bien le temps
D'avoir des milliers d'embêtements crois-moi
Oui laisse donc un peu les filles
J'ai beau penser à ses conseils
A la fenêtre je m'émerveille
Et je regarde passer ces demoiselles
Pendant que ma mère crie de plus belle
Han han han, laisse les filles
Han han han, oui, laisse les filles
Tu as bien le temps
D'avoir des milliers d'embêtements crois-moi
Oui laisse donc un peu les filles
Avec Claude hier au soir
Devant le juke-box près du bar
On dansait, y avait de la gaieté
Lorsque ma mère s'est radinée
Han han han, laisse les filles
Han han han, oui, laisse les filles
Tu as bien le temps
D'avoir des milliers d'embêtements crois-moi
Oui laisse donc un peu les filles
Heureusement pauv' de moi
Pour me soutenir j'ai mon papa
Qui me dit toujours: vas-y mon gars
Puisque les filles c'est fait pour ça
Han, han, han
Laisse les filles t'adorer, oui
Laisse les filles
Te câliner te caresser te cajoler
Crois-moi
Oui laisse-toi aimer des filles
Oui laisse-toi aimer des filles
Oui laisse-toi aimer des filles"
Reaching(Reissue Bonus Track),"Jackson, Wanda",1960,https://www.azlyrics.com/lyrics/wandajackson/reaching.html,"Oh, how I'd love to touch the one I love so much
I'll reach and I'll keep reaching patiently
Passion rules your heart
Now pride keeps us apart
It hurts but I'll keep reaching desperately
My arms are open wide
Although I know you lied
I'm jealous but that you'll never see
Please tell her today
You're coming home to stay
I'll wait but I'll keep reaching desperately
There's something in the air
That tells me you still care
Though prode and passion took you on this spree
When you're through with her well then
My arms say welcome in
I'll wait but I'll keep reaching desperately
My arms are open wide
Although I know you lied
I'm jealous but that you'll never see
Please tell her today
You're coming home to stay
I'll wait but I'll keep reaching desperately"
Make Me Know It,Elvis Presley,1960,https://www.azlyrics.com/lyrics/elvispresley/makemeknowit.html,"You say that you love me
And swear it to be true
But if you care to come over here
And make me know it do
Come on now, make me know it
Then go ahead and show it
But if you care to come over here
And make me know it do
You say you've got kisses
And swear that they're brand new
I think that's fine if you ain't lyin'
But make me know it do
Come on now, make me know it
Then go ahead and show it
I think that's fine if you ain't lyin'
But make me know it do
You won't have no trouble proving it to me
Come right along you'll find me
Helpful as can be
You say you wanna hold me
And stick to me like glue
Well hearing's deceiving
And seeing's believing
Make me know it do
Come on now, make me know it
Well go ahead and show it
I say hearing's deceiving
Seeing's believing
Make me know it do
You won't have no trouble proving it to me
Come right along you'll find me
Helpful as can be
You say you wanna hold me
And stick to me like glue
Well hearing's deceiving
And seeing's believing
Make me know it do
Come on now, make me know it
Well go ahead and show it
I say hearing's deceiving
Seeing's believing
Make me know it do
Oh make me know it
Then go ahead and show it
Make me know it
Then go ahead and show it"
With You,"Cooke, Sam",1960,https://www.azlyrics.com/lyrics/samcooke/withyou.html,"With you
With you, although I am poor, I feel like a king
With you
With you, though I have nothing, I feel I have everything
But without you my dreams will soon fade away
I'd be here crying day after day, ohh
Promise me you'll never, never, never
Never leave me
Oh, when I'm with you
With you, oh life means everything to me
With you
With you, just like a child, I'm happy as I can be
But without you I'm lost like a child left alone
Crying for its mother and wishing she was home
I know, I know, I know, I know
I know you'll never, never, never leave me
Ohh, you are my love
For your wonderful, wonderful, wonderful love, I live
You are my life
For your wonderful love my life I'd gladly give
For only when I'm with you
With you, oh do I, do I, do I feel the way that I do
With you
With you, I found, I found, I found, I found the love that's always true
But without you I'm lost, so you find my way
I'd be here crying day after day, ohh
Promise, promise, promise me you'll never
Never leave me"
Again,Ricky Nelson,1960,https://www.azlyrics.com/lyrics/rickynelson/again.html,"Again, this couldn't happen again
This is that once in a lifetime
This is the thrill divine
What's more, this never happened before
Though I have prayed for a lifetime
That such as you would suddenly be mine
Mine to hold, as I'm holding you now
And yet, never so near
Mine to have when the now and the here disappear
What matters dear
For when, this doesn't happen again
We'll have this moment forever
But never, never again"
Ev'ry Time We Say Goodbye,"Vaughan, Sarah",1961,https://www.azlyrics.com/lyrics/sarahvaughan/evrytimewesaygoodbye.html,"Ev'ry time we say goodbye
I die a little
Ev'ry time we say goodbye
I wonder why a little
Why the Gods above me
Who must be in the know
Think so little of me
They allow you to go
When you're near
There's such an air of spring about it
I can hear a lark somewhere
Begin to sing about it
There's no love song finer
But how strange the change
From major to minor
Ev'ry time we say goodbye
When you're near
There's such an air of spring about it
I can hear a lark somewhere
Begin to sing about it
There's no love song finer
But how strange the change
From major to minor
Ev'ry time we say goodbye"
Evenin',Julie London,1961,https://www.azlyrics.com/lyrics/julielondon/evenin.html,"Uh huh
Uh huh
Evening, every night you come and you find me
Must you always remind me
That my man is gone
Oh... evening, can't you see, I'm in your deep hour
Every minute seems just like an hour
Since my man has gone
Shadows fall on the wall
That's the time I miss your kisses most of all
Even though I cry, how can I go on?
Evening, let me sleep great dawn is breaking
I don't care if I just don't awaken
Now my man is gone
Evening, every night you come and you
Why must you always remind me
That my man is gone
Can't you see I'm in your power?
Every minute seem just like an hour
Since my man has gone
Shadows fall on the wall
That's the time I miss your kisses most of all
Even though I cry, how can I go on?
Evening, let me sleep
The great dawn is breaking
I don't care if I never awaken
Now my man is gone
Now my man is gone
How I dread evening"
Medley: One Kiss / My Romance / The Vagabond King Waltz,Peggy Lee,1961,https://www.azlyrics.com/lyrics/peggylee/medleyonekissmyromancethevagabondkingwaltz.html,"One kiss, one man to save it for
One love for him alone
One word, one vow, and nothing more
To tell him I'm his own
One magic night within his arms
With passion's flower unfurled
But I will try to love only one man
And no other man in the world
My romance doesn't have to have a moon in the sky
My romance doesn't need a blue lagoon standing by
No month of May, no twinkling stars
No hideaway, nor soft guitars
My romance doesn't need a castle rising in Spain
Or a dance to a constantly surprising refrain
Wide awake I can make my most fantastic dreams come true
My romance doesn't need a thing
So never seek to bind me
Never hope to know
Take me as you find me
Love and let me go
For the love's we leave behind us
Change or fade away
Nevermind for you are mine today
You're mine, you're mine today"
High Noon,"Francis, Connie",1961,https://www.azlyrics.com/lyrics/conniefrancis/highnoon.html,"This is the story of two men
One, an ex-convict
The other, a man of honour
The ex-convict vowed while in prison
To kill the man of honour
""I can't be a coward""
He says to his fair-haired beauty
Do not forsake me, oh my Darlin'
On this our wedding day
Do not forsake me, oh my Darlin'
Wait, wait along
I do not know what fate awaits me
I only know I must be brave
And I must face a man who hates me
Or lie a coward, a craven coward
Or lie a coward in my grave
Oh, to be torn 'twixt love and duty
S'posin' I lose my fair-haired beauty
Look at that big hand move along
Nearin' High Noon
He made a vow while in state's prison
Vowed it would be my life or his 'n
I'm not a afraid of death, but oh
What will I do if you leave me
Do not forsake me, oh my Darlin'
You made that promise as a bride
Do not forsake me, oh my Darlin'
Although you're grieving
Don't think of leaving
Now that I need you by my side"
Don't Blame Me,"Everly Brothers, The",1961,https://www.azlyrics.com/lyrics/everlybrothers/dontblameme.html,"Don't blame me, for falling in love with you 
I'm under your spell, but how can I help - it 
Don't blame me. 
Can't you see, when you do the things you do 
If I can't conceal, the thrill that I'm feel - ing 
Don't blame me. 
I can't help it, if that dog-goned - moon above 
Makes me need, someone like you - to love. 
Blame your kiss, as sweet as a kiss can be 
And blame all your charms, that melt in my arms 
But don't blame me."
Sweet Dreams,"Jones, George",1962,https://www.azlyrics.com/lyrics/georgejones/sweetdreams.html,"Sweet dreams of you
Every night I go through
Why cant I forget you and start my life anew
Instead of having sweet dreams about you.
You don't love me its plain
I should know you'll never wear my ring
I should hate you the whole night through
Instead of having sweet dreams about you.
Sweet dreams of you
Things I know can't come true 
Why cant I forget you and start my life anew
Instead of having sweet dreams about you..."
There's No Fool Like A Young Fool,"Price, Ray",1962,https://www.azlyrics.com/lyrics/rayprice/theresnofoollikeayoungfool.html,"There's no fool like a young fool with wild and careless way
Who forgets about tomorrow and lives for just today
If she could only realize the sorrow that's in store
She'd try behavin' on for sights and honky tonk no more.
It breaks my heart to see her sitting there
With tavern lights shining in her hair
Life won't be as sweet to her tomorrow as today
There's no fool like a young fool who throws her life away.
Now the dim lights and the drinking seem like fun I know
But she'll find out one morning you reap just what you sowed
The sad part is she'll be alone once she starts to fall
There's no fool like a young fool who thinks she knows it all.
It breaks my heart to see her sitting there
With tavern lights shining in her hair
Life won't be as sweet to her tomorrow as today
There's no fool like a young fool who throws her life away..."
Dark As A Dungeon,Harry Belafonte,1962,https://www.azlyrics.com/lyrics/harrybelafonte/darkasadungeon.html,"Come all you young fellers so young and so fine
Seek not your fortune in the dark dreary mine
It'll form as a habit it'll seed in your soul
Till the blood in your veins runs black as the coal
For it's dark as a dungeon and it's damp as the dew
Where the dangers are double the pleasures are few
Where the rain never falls the sun never shines
Oh God, it's dark as a dungeon way down in the mines
Oh, it's many a man I've known in my day
Who lived just to labor his whole life away
Like a fiend for his dope a drunkard his wine
A man will have lust for the lure of the mine
Oh,I hope when I die and the ages do roll
Yes, my body will harden and turn into coal
And I look from the door of my heavenly home
To see a poor miner a diggin' my bones"
Love For Sale,Tony Bennett,1962,https://www.azlyrics.com/lyrics/tonybennett/loveforsale.html,"When the only sound in the empty street
Is the heavy tread of the heavy feet
That belong to a lonesome cop
She opens shop
When the moon so long has been gazing down
On the wayward ways of this wayward town
Then her smile becomes a smirk
She goes to work
Love for sale
Appetizing, young love for sale
Love that’s fresh and still unspoiled
Love that’s only slightly soiled
Love for sale
Who will buy?
Who would like to sample her supply?
Who’s prepared to pay the price
For a trip to paradise?
Love for sale
Let the poets pipe of love
In their childish way
She knows every type of love
Better far than they
If you want the thrill of love
She’s been through the mill of love.
Old love. New love.
Every love, but true love.
Love for sale.
Appetizing young love for sale.
If you want to buy her wares,
Follow her and climb the stairs.
Love for sale.
Love for sale"
Don't Ask Me Why,"Jackson, Wanda",1962,https://www.azlyrics.com/lyrics/wandajackson/dontaskmewhy.html,"I'll go on loving you don't ask me why
Don't know what else to do don't ask me why
How sad my heart would be if you should go
Though you're not good for me I want you so
It's not the kind of love I've dreamed about
But it's the kind that I can't live without
You're all I'm longing for don't say goodbye
I need you more and more don't ask me why
It's not the kind of love..."
Holiday For Love,Mel Tillis,1962,https://www.azlyrics.com/lyrics/meltillis/holidayforlove.html,"I'd like to make everyday with you a holiday for love
Every hour of the day you're all I'm a thinkin' of
All week along when you're gone I sit around so blue
I just can't wait on Saturday that's my holiday with you
Monday Tuesday Wednesday wonder if you miss me too
Thursday Friday Saturday makin' plans just to be with you
Oh, I'm a gonna be so sweet to you neath the moon above
And I'd like to make everyday with you a holiday for love
..."
"Tonite, Tonite","Four Seasons, The",1963,https://www.azlyrics.com/lyrics/fourseasons/tonitetonite.html,"Tonite, tonite
While I'm holding you so near
Tonite, tonite
What I'd give if I could hear
Those three little words
That would thrill the heart of me
Just whisper 'shhhh... I love you'
And will eternally
Tonite, tonite
More than any time before
This heart of mine
Seems to need you so much more
The touch of your lips
The thrill of your embrace
Keeps saying that
No one will ever take your place
While looking up above
I wished upon a star
And prayed for a blessing from above
Well if my wish should come true
Until our life is through
I'll have you near to have to hold and to love
Well, tonite, tonite
May never reach an end
I'll miss you so
Til you're in my arms again
With all of my heart
I declare with all my might
I'll love you forever
As I love you tonight
Tonite, tonite
May never reach an end
I'll miss you so
Til you're in my arms again
With all of my heart
I declare with all my might
I'll love you forever
As I love you tonight"
Lucky Me,"Chiffons, The",1963,https://www.azlyrics.com/lyrics/chiffons/luckyme.html,"Lucky me, lucky me, lucky me
I'm happy as a girl can be
Let last love at the night
That girl who was oh so shy
Oh me, oh my
Lucky, lucky me
Every day, every day, every day
I'm gonna love him in every way
He's such a wonderful guy
He's still a little bit shy
Oh me, oh my
Lucky, lucky me
My friends used to tell me
That he never could be my man
Now, now that I've got him
I have to keep my friends in line
So girls, stay away, stay away
Don't think of making a play
He's mine and he's mine to stay
It's always gonna be this way
So, hey, hey, hey
Lucky, lucky me
Lucky me
Lucky me
Lucky me
Lucky me
Lucky me
Lucky me"
True Love Ways,Bobby Vee,1963,https://www.azlyrics.com/lyrics/bobbyvee/trueloveways.html,"Just you know why, why you and I
Will by and by, know true love ways
Sometimes we'll sigh, sometimes we'll cry
And we'll know why just you and I know true love ways
Throughout the days our true love ways
Will bring us joys to share with those who really care
Sometimes we'll sigh, sometimes we'll cry
And we'll know why just you and I know true love ways"
Young And Foolish,Tony Bennett,1963,https://www.azlyrics.com/lyrics/tonybennett/youngandfoolish.html,"Once we were foolish children
Playing as children play
Racing through a meadow April bright
Dreaming on a hilltop half the night
Now that we’re growing older
We have no time to play
Now that we’re growing wiser
We are not wise enough to stay
Young and foolish
Why is it wrong to be
Young and foolish?
We haven't long to be
Soon enough the carefree days
The sunlit days go by
Soon enough the bluebird has to fly
We were foolish
One day we fell in love
Now we wonder
What were we dreaming of
Smiling in the sunlight
Laughing in the rain
I wish that we were young and foolish again"
Don't Think Twice It's All Right,Bob Dylan,1963,https://www.azlyrics.com/lyrics/bobdylan/dontthinktwiceitsallright.html,"Well, it ain't no use to sit and wonder why, babe
If'n you don't know by now
And it ain't no use to sit and wonder why, babe
It'll never do somehow
When your rooster crows at the break of dawn
Look out your window, and I'll be gone
You're the reason I'm a-traveling on
But don't think twice, it's all right
And it ain't no use in turning on your light, babe
The light I never knowed
And it ain't no use in turning on your light, babe
I'm on the dark side of the road
But I wish there was somethin' you would do or say
To try and make me change my mind and stay
But we never did too much talking anyway
But don't think twice, it's all right
So it ain't no use in calling out my name, gal
Like you never done before
And it ain't no use in calling out my name, gal
I can't hear you any more
I'm a-thinking and a-wonderin' walking down the road
I once loved a woman, a child I am told
I give her my heart but she wanted my soul
But don't think twice, it's all right
So long honey, baby
Where I'm bound, I can't tell
Goodbye's too good a word, babe
So I'll just say fare thee well
I ain't a-saying you treated me unkind
You could have done better but I don't mind
You just kinda wasted my precious time
But don't think twice, it's all right"
I Belong To You,"Lee, Peggy",1963,https://www.azlyrics.com/lyrics/peggylee/ibelongtoyou.html,"I'm not free
But who wants to be
You're everything
That's right for me
I'll never run to someone new
I belong to you
Hold me close
And I'll tell you why
Time has a way
Of racing by
I had a dream
That just came true
I belong to you
This is a world
So new to me
And I like what I feel
Deep inside
I'm glad
So much love got through to me
It goes to show
That you'll never know
Now with heart and soul
I met your command
Those who have loved
Will understand
I must be yours
My whole life through
I belong to you
Heart and soul
I met your command
Those who have loved
Will understand
I must be yours
My whole life through
I belong to you"
"Medley: Haven't You Heard / Eat, Drink And Be Merry / A Satisfied Mind","Wagoner, Porter",1964,https://www.azlyrics.com/lyrics/porterwagoner/medleyhaventyouheardeatdrinkandbemerryasatisfiedmind.html,"[Haven't You Heard]
Haven't you heard there's a new love for me
Haven't you heard you're just my used to be
She held out her hand said haven't you heard
I saw gold wedding band I was lost forward
I wanted to cry I wanted to die
When she said these words, oh, haven't you heard
[Eat Drink And Be Merry]
Little heart you've been broken many times before
But the wound always heals no matter how sore
But this time is different and I can't tell you why
Eat drink and be merry tomorrow you'll cry
[A Satisfied Mind]
How many time have you heard someone say
If I had his money I could do things my way
But little they know that it's so hard to find
One rich man in ten with a satisfied mind..."
Once (Ils S'aimaient),"Lee, Peggy",1964,https://www.azlyrics.com/lyrics/peggylee/onceilssaimaient.html,"Once his lips kissed my lips so sweetly
Once his heart beat for mine completely
Once his arms held me as they now hold her
Once I felt every thrill she's feeling
Once he to set my whole world reeling
Once I knew all the wonder of his warm love
Once I felt confident as she does
Loved for life, just the way that she does
Then one night, I reached out and he was gone
Once his lips kissed my lips so sweetly
Once his heart beat for mine completely
Now I long just to have that once, once more
How I long just to have that once, once more"
Coco And Co,"Gainsbourg, Serge",1964,https://www.azlyrics.com/lyrics/sergegainsbourg/cocoandco.html,"Ecoute
Le gars qui jazzote
T'entends
Ah comme il saxote
Il est
Camé à zéro
Coco and co
Un de
Ses compatriotes
Au pia-
No c'ui qui pianote
Comme lui c'est la coco
Coco and co
A la
Basse
C'ui qui croqu'note
C'est l'é-
Ther qui lui botte
T'as pas
Vu il est k. o.
Coco and co
Aux drums
C'ui là qui tapote
C'est un
Crack c'est un pote
Lui c'est
La fleur de pavot
Coco and co
C'ui qui
Joue pas qui sirote
C'est un
Des gars du Blue Note
Mais lui
Ca s'rait plutôt la
Marijuana"
The Warmth Of The Sun,Beach Boys,1964,https://www.azlyrics.com/lyrics/beachboys/thewarmthofthesun.html,"What good is the dawn
That grows into day
The sunset at night
Or living this way
For I have the warmth of the sun
(Warmth of the sun)
Within me at night
(Within me at night)
The love of my life
She left me one day
I cried when she said
""I don't feel the same way""
Still I have the warmth of the sun
(Warmth of the sun)
Within me tonight
(Within me tonight)
I'll dreams of her arms
And though they're not real
Just like she's still there
The way that I feel
My love's like the warmth of the sun
(Warmth of the sun)
It won't ever die
(It won't ever die)"
Lili Marleen,"Francis, Connie",1964,https://www.azlyrics.com/lyrics/conniefrancis/lilimarleen.html,"Vor der Kaserne, vor dem großen Tor
Stand eine Laterne und steht sie noch davor
So woll'n wir da uns wiedersehn
Bei der Laterne woll'n wir steh'n
Wie einst, Lili Marleen
Wie einst, Lili Marleen
Unsrer beiden Schatten sah'n wie einer aus
Dass wir so lieb uns hatten, das sah man gleich daraus
Und alle Leute soll'n es seh'n
Wenn wir bei der Laterne steh'n
Wie einst, Lili Marleen
Wie einst, Lili Marleen
Aus dem stillen Raume, aus der Erde Grund
Hebt mich wie im Traume dein verliebter Mund
Wenn sich die spaeten Nebel dreh'n
Werd' ich bei der Laterne steh'n
Wie einst, Lili Marleen
Wie einst, Lili Marleen"
Candy Man,"Jackson, Wanda",1964,https://www.azlyrics.com/lyrics/wandajackson/candyman.html,"Come on baby, let me take you by the hand come on sugar let me take you by the hand
You're for me won't you be all my own candy candy candy man
Come on baby, I love your honey lovin' ways
Come on sweet thing I love your honey lovin' your honey lovin' ways
Come to me won't you be all my own candy candy candy man
Come on baby, I'm gonna treat you right I'll give you candy kisses ever single night
You're for me won't you be all my own candy candy candy man
Oh, candy candy candy, I've got a sweet sweet thing for you
Yeah, candy candy candy, I've got a sweet sweet thing for you"
Heartbreak Valley,"Young, Faron",1964,https://www.azlyrics.com/lyrics/faronyoung/heartbreakvalley.html,"Green is the valley where I will go
Blue are the tears that hurt me so
I'm blinded by a pain that I can't see
That's why I'm movin' to Heartbreak Valley
Empty are these arms that once held you
Gone is the love that we once knew
And cold is the heart that once loved me
That's why I'm movin' to Heartbreak Valley
Heartbreak Valley's at the bottom of a mountain of regret
But I will stay in Heartbreak Valley till the day that I forget
That girl made me leave a place called happiness
So I'm movin' to Heartbreak Valley with my loneliness
Cause I'm blinded by a pain that I can't see
That's why I'm movin' to Heartbreak Valley
Heartbreak Valley's at the bottom of a mountain of regret
But I will stay in Heartbreak Valley till the day that I forget
That girl made me leave a place called happiness
So I'm movin' to Heartbreak Valley with my loneliness
Cause I'm blinded by a pain that I can't see
That's why I'm movin' to Heartbreak Valley
Green is the valley where I will go
Blue are the tears that hurt me so
That's why I'm movin' to Heartbreak Valley"
